post_id,fk_user_id,post_type,title,content,hashtags,location,manual_label,likes,spam_flag,rating,created_at
P65301dbf,U82c15bec,cultural_info,Tips for Travelers,Had an unforgettable adventure.,#beach,Kalandula Falls,cultural_info,176,0,3.65,2023-09-22
P88d4bed5,U14b39279,recommendation,Cultural Insights,Visited a wonderful place!,#culture,Praia Morena,feedback,437,0,2.25,2023-08-15
Pd0cedee6,U7723c76a,feedback,My Travel Story,The food was delicious!,#food,Kalandula Falls,recommendation,442,0,3.08,2024-04-30
P35307584,Ue9292787,feedback,My Travel Story,Visited a wonderful place!,#beach,Museu Nacional de História Natural,cultural_info,364,0,3.19,2024-03-09
Pda95910e,U851eb44b,travel_tip,Cultural Insights,Had an unforgettable adventure.,#adventure,Morro do Moco,travel_tip,154,1,1.74,2024-08-21
Pc161899a,U133191f1,recommendation,Cultural Insights,The food was delicious!,#adventure,Ilha do Mussulo,recommendation,246,0,4.88,2023-12-11
P6e151d57,U2dbac002,cultural_info,Cultural Insights,The food was delicious!,#food,Ilha do Mussulo,cultural_info,96,0,4.1,2024-06-13
P5e390161,U1626077d,feedback,Amazing Experience,Had an unforgettable adventure.,#food,Museu Nacional de História Natural,feedback,369,0,4.76,2024-05-24
Pa4a823fe,U2dc08df2,cultural_info,Tips for Travelers,Had an unforgettable adventure.,#culture,Ilha do Mussulo,recommendation,298,0,4.58,2023-12-18
Pfad7fad3,U24bd1a03,feedback,Tips for Travelers,The food was delicious!,#nature,Museu Nacional de História Natural,feedback,430,0,3.39,2023-10-28
P57a29f79,U69d8d1c4,travel_tip,My Travel Story,The food was delicious!,#food,Quicama National Park,feedback,484,0,4.69,2023-04-02
Pf7c6a80b,Uc870f29c,cultural_info,My Travel Story,The food was delicious!,#culture,Museu Nacional de História Natural,cultural_info,133,0,1.35,2024-04-19
Pf0760331,Udd2a750c,recommendation,Tips for Travelers,Visited a wonderful place!,#food,Quicama National Park,recommendation,241,0,1.78,2024-05-27
P85133957,Ue3a0986a,travel_tip,Cultural Insights,Had an unforgettable adventure.,#travel,Morro do Moco,feedback,102,0,1.18,2024-02-24
P19ce5363,Ueb13e879,travel_tip,My Travel Story,The food was delicious!,#food,Morro do Moco,recommendation,249,0,2.3,2023-07-01
P146438eb,U4971234c,recommendation,Amazing Experience,Had an unforgettable adventure.,#adventure,Morro do Moco,feedback,295,0,2.55,2024-05-16
P589cee79,Ua6f53cf2,recommendation,My Travel Story,Had an unforgettable adventure.,#food,Kalandula Falls,travel_tip,219,1,2.09,2024-01-28
Pc081e99b,U7b808770,recommendation,My Travel Story,The food was delicious!,#travel,Museu Nacional de História Natural,feedback,9,0,4.31,2023-09-12
P77cfa1b1,U3e7f5465,cultural_info,Cultural Insights,Highly recommend this destination.,#travel,Kalandula Falls,cultural_info,85,0,2.43,2023-02-16
P92ffcde9,U225085d1,cultural_info,Tips for Travelers,The food was delicious!,#culture,Ilha do Mussulo,feedback,175,1,2.12,2024-01-03
P7c84a50d,U951d3210,feedback,My Travel Story,Had an unforgettable adventure.,#travel,Morro do Moco,feedback,372,0,3.17,2023-08-05
P1fdc139d,U7fcfb85f,recommendation,My Travel Story,Visited a wonderful place!,#adventure,Ilha do Mussulo,recommendation,192,0,1.56,2024-07-01
P92effed0,U77b2537e,recommendation,Amazing Experience,Visited a wonderful place!,#food,Praia Morena,recommendation,353,0,4.21,2024-03-02
P4ce12b99,U2cce5156,travel_tip,Amazing Experience,The food was delicious!,#culture,Ilha do Mussulo,feedback,105,0,1.3,2023-11-05
P391d2311,U6fa68f1f,recommendation,Cultural Insights,Highly recommend this destination.,#culture,Praia Morena,recommendation,144,0,4.95,2023-04-19
P9c5caba2,Ue443856d,feedback,My Travel Story,The food was delicious!,#nature,Morro do Moco,cultural_info,360,1,4.09,2023-10-30
P9a357928,U9480b3b3,recommendation,Tips for Travelers,Highly recommend this destination.,#food,Kalandula Falls,cultural_info,120,0,1.79,2023-01-14
P1e83242b,Uba5db877,recommendation,Amazing Experience,Had an unforgettable adventure.,#beach,Praia Morena,recommendation,370,0,1.02,2023-09-20
Pa6a4c2ca,U2c6df721,feedback,Tips for Travelers,The food was delicious!,#adventure,Kalandula Falls,recommendation,51,0,4.26,2023-02-10
P8ab79e5c,U6dc7e9d9,cultural_info,Cultural Insights,The food was delicious!,#culture,Ilha do Mussulo,recommendation,48,0,3.83,2023-01-10
P622430b1,U6dc7e9d9,feedback,My Travel Story,The food was delicious!,#adventure,Kalandula Falls,cultural_info,449,0,3.92,2024-01-17
P1ca820ab,U50fe7636,cultural_info,My Travel Story,Visited a wonderful place!,#culture,Kalandula Falls,travel_tip,139,1,4.09,2024-05-04
P99f84c64,U54914d48,travel_tip,My Travel Story,Visited a wonderful place!,#beach,Ilha do Mussulo,recommendation,482,0,1.3,2023-04-17
P11d6280b,Ua0488db6,travel_tip,Tips for Travelers,Highly recommend this destination.,#nature,Kalandula Falls,cultural_info,313,0,2.43,2023-05-14
Pd526b635,U29273901,travel_tip,Amazing Experience,Had an unforgettable adventure.,#culture,Praia Morena,recommendation,133,0,1.46,2023-01-13
P4addc4cc,U2a6ff695,feedback,Cultural Insights,Visited a wonderful place!,#culture,Ilha do Mussulo,feedback,246,0,4.45,2024-01-30
P89bb1c3b,U83cf8f04,recommendation,Amazing Experience,Highly recommend this destination.,#nature,Kalandula Falls,travel_tip,445,0,3.49,2023-03-18
P6815aab7,U951d3210,travel_tip,Cultural Insights,Highly recommend this destination.,#adventure,Museu Nacional de História Natural,recommendation,259,0,2.32,2024-07-17
P9f2cd732,U2c6df721,travel_tip,Tips for Travelers,Highly recommend this destination.,#travel,Kalandula Falls,travel_tip,410,1,1.25,2023-04-01
Pe83f2952,Uaab5e3cd,travel_tip,Tips for Travelers,The food was delicious!,#travel,Kalandula Falls,recommendation,52,1,2.24,2024-02-27
Pb14a8f11,U90cd7c9b,recommendation,Amazing Experience,The food was delicious!,#nature,Quicama National Park,feedback,335,1,2.3,2023-12-16
Pb9197b01,Uaf9fb74e,recommendation,My Travel Story,Had an unforgettable adventure.,#adventure,Quicama National Park,travel_tip,366,0,3.92,2024-04-08
P5fd228d6,U5d162a52,recommendation,My Travel Story,Visited a wonderful place!,#adventure,Museu Nacional de História Natural,cultural_info,280,0,3.55,2023-04-19
P1329ff98,U05b4f80a,feedback,Tips for Travelers,Highly recommend this destination.,#food,Ilha do Mussulo,travel_tip,54,0,4.55,2023-07-20
Pc789c5cc,U500c8bc4,recommendation,Tips for Travelers,Highly recommend this destination.,#culture,Morro do Moco,cultural_info,55,1,2.89,2023-02-17
Paeb7ac8e,U1914ceb0,recommendation,Tips for Travelers,Had an unforgettable adventure.,#food,Quicama National Park,feedback,493,1,1.48,2023-01-05
Pbe7d602d,Uf5be1057,recommendation,Tips for Travelers,Had an unforgettable adventure.,#nature,Morro do Moco,feedback,374,0,3.85,2023-04-17
P1624d8fb,U04a845a7,cultural_info,Tips for Travelers,Had an unforgettable adventure.,#nature,Ilha do Mussulo,feedback,140,1,4.04,2023-12-18
Pe4752eb0,U8c43e13f,cultural_info,Tips for Travelers,Highly recommend this destination.,#beach,Kalandula Falls,cultural_info,431,0,3.25,2024-07-20
Pe0a303d5,Udf1e00d4,feedback,My Travel Story,Highly recommend this destination.,#nature,Ilha do Mussulo,cultural_info,351,0,4.08,2023-05-16
Pc1b5bb2b,U3573d758,feedback,Cultural Insights,Visited a wonderful place!,#adventure,Quicama National Park,travel_tip,298,1,2.98,2024-06-30
Pac1ee94d,U0fe9d8fd,travel_tip,Amazing Experience,Visited a wonderful place!,#travel,Kalandula Falls,feedback,27,0,3.09,2023-07-24
Pb3c215c9,U90cd9564,feedback,Cultural Insights,The food was delicious!,#beach,Praia Morena,cultural_info,104,0,2.71,2024-01-03
P9e9ca514,Ud98748b9,travel_tip,Amazing Experience,Highly recommend this destination.,#food,Ilha do Mussulo,travel_tip,121,0,1.1,2023-02-18
Pd00713ed,U1914ceb0,travel_tip,Tips for Travelers,Had an unforgettable adventure.,#food,Museu Nacional de História Natural,recommendation,6,0,1.43,2023-07-27
P65bce352,U920755bf,travel_tip,My Travel Story,The food was delicious!,#nature,Quicama National Park,feedback,397,0,1.13,2023-10-29
P4d3b2bfc,Uc767163b,feedback,Amazing Experience,Highly recommend this destination.,#beach,Ilha do Mussulo,recommendation,193,0,3.55,2024-03-14
Pb921e9bb,U26b77fe6,cultural_info,My Travel Story,Highly recommend this destination.,#nature,Museu Nacional de História Natural,recommendation,169,1,2.26,2023-06-08
P33bff09a,Ud346e487,feedback,Cultural Insights,Visited a wonderful place!,#food,Quicama National Park,cultural_info,251,0,3.03,2023-03-16
P2ef0e5d1,U450f981e,cultural_info,My Travel Story,Highly recommend this destination.,#nature,Praia Morena,feedback,212,1,4.63,2023-04-05
P60f00293,U1d4171ec,feedback,My Travel Story,The food was delicious!,#adventure,Museu Nacional de História Natural,cultural_info,111,1,2,2024-07-28
Pb8004050,Uba9da8b2,recommendation,Amazing Experience,The food was delicious!,#culture,Morro do Moco,feedback,490,0,2.64,2023-11-25
Pf0e94058,Uefbd5c07,recommendation,Tips for Travelers,The food was delicious!,#nature,Ilha do Mussulo,cultural_info,12,0,4.02,2024-06-10
P0fd959c2,U0db58acf,travel_tip,Tips for Travelers,Visited a wonderful place!,#adventure,Ilha do Mussulo,feedback,164,0,1.92,2023-04-09
P0ee0f084,U64a5bb1c,recommendation,Amazing Experience,Highly recommend this destination.,#food,Ilha do Mussulo,feedback,442,1,1.31,2023-04-17
Pbf1b7f8f,U26d29648,travel_tip,Amazing Experience,Highly recommend this destination.,#travel,Kalandula Falls,cultural_info,19,0,2.16,2023-03-17
P413da8c9,Udd75bbfa,feedback,Cultural Insights,Visited a wonderful place!,#nature,Morro do Moco,cultural_info,208,1,1.64,2024-04-06
P6407b88b,Ud8d76133,travel_tip,Tips for Travelers,The food was delicious!,#travel,Kalandula Falls,recommendation,273,0,4.72,2023-03-06
P35fd2692,Ub8aa1067,recommendation,Amazing Experience,The food was delicious!,#nature,Praia Morena,cultural_info,402,0,4.23,2023-03-30
Pd2e6d556,Uc8a1bcc3,travel_tip,Tips for Travelers,Had an unforgettable adventure.,#food,Praia Morena,travel_tip,80,0,3.53,2023-05-20
Pfaf3c69e,Uc0c94625,travel_tip,Cultural Insights,Highly recommend this destination.,#adventure,Ilha do Mussulo,cultural_info,490,0,4.49,2024-07-20
P065f3d3f,U48289f69,feedback,Amazing Experience,Visited a wonderful place!,#travel,Quicama National Park,travel_tip,275,0,4.21,2023-11-09
P47289072,U7af0d8a5,cultural_info,My Travel Story,Had an unforgettable adventure.,#food,Quicama National Park,feedback,82,0,1.75,2023-08-15
P1aa5d446,Ub48a7270,cultural_info,My Travel Story,Visited a wonderful place!,#beach,Ilha do Mussulo,recommendation,435,1,4.57,2024-07-16
P670f1179,U1dce06f3,cultural_info,Amazing Experience,The food was delicious!,#travel,Morro do Moco,travel_tip,487,0,3.16,2024-01-01
P1be89aa9,U922d62c1,feedback,Amazing Experience,The food was delicious!,#nature,Praia Morena,feedback,162,1,4.23,2024-04-06
Pe6d9275b,U0dd5fe54,cultural_info,My Travel Story,The food was delicious!,#adventure,Kalandula Falls,feedback,2,0,4.58,2023-09-10
P085381f5,Ua6f53cf2,feedback,Tips for Travelers,The food was delicious!,#adventure,Morro do Moco,cultural_info,449,1,2.27,2024-04-18
P6e4c07df,U04b792b3,cultural_info,Cultural Insights,Had an unforgettable adventure.,#nature,Praia Morena,feedback,330,0,1.44,2023-10-15
P92b73be7,Ucbeb5ab7,feedback,My Travel Story,The food was delicious!,#food,Ilha do Mussulo,recommendation,372,0,1.91,2023-01-20
P0670f58f,Uba0f8112,recommendation,Tips for Travelers,Highly recommend this destination.,#travel,Quicama National Park,cultural_info,278,1,2.71,2023-06-02
P984e10c5,Uc97ee642,travel_tip,My Travel Story,The food was delicious!,#beach,Kalandula Falls,recommendation,203,0,4.27,2024-05-29
P02f8f4a7,U19c9e641,feedback,My Travel Story,Highly recommend this destination.,#culture,Morro do Moco,feedback,289,0,4.44,2024-05-10
P2cd1db3c,Uc89367b1,cultural_info,Amazing Experience,Highly recommend this destination.,#culture,Morro do Moco,recommendation,135,0,1.03,2023-08-28
P8cdb18c6,U91c15f49,feedback,Cultural Insights,Had an unforgettable adventure.,#culture,Kalandula Falls,recommendation,20,0,3.04,2023-04-16
Pa0447cf0,U2a6ff695,cultural_info,Cultural Insights,Highly recommend this destination.,#culture,Ilha do Mussulo,travel_tip,187,0,2.67,2024-06-13
Pc59f9010,U79283d51,travel_tip,My Travel Story,Had an unforgettable adventure.,#adventure,Museu Nacional de História Natural,travel_tip,405,1,1.89,2023-01-07
Pc9a60c71,U64d3cb0b,feedback,Tips for Travelers,Highly recommend this destination.,#beach,Praia Morena,cultural_info,108,0,1.48,2023-07-11
P14b5c66d,U80f34ca6,cultural_info,Amazing Experience,Highly recommend this destination.,#culture,Museu Nacional de História Natural,recommendation,246,1,2.35,2024-05-05
P61ce3610,U7af0d8a5,feedback,Tips for Travelers,Visited a wonderful place!,#beach,Praia Morena,feedback,293,0,4.77,2023-05-18
P54f6dac4,Ud8d76133,recommendation,My Travel Story,Visited a wonderful place!,#beach,Museu Nacional de História Natural,feedback,264,1,2.29,2024-07-31
P05ac2760,U4e50473e,recommendation,Cultural Insights,Visited a wonderful place!,#beach,Kalandula Falls,travel_tip,444,1,3.08,2023-06-24
Pcf8bf5e4,Ubec15737,travel_tip,My Travel Story,Highly recommend this destination.,#nature,Ilha do Mussulo,cultural_info,85,0,3.81,2024-04-09
P9b5045ac,Ud58d14fa,recommendation,My Travel Story,Had an unforgettable adventure.,#culture,Morro do Moco,recommendation,8,0,2.45,2024-06-19
Pb2f4574e,Ud3f37f0f,travel_tip,My Travel Story,Visited a wonderful place!,#beach,Kalandula Falls,recommendation,449,0,4.89,2023-04-06
P0e90bc1c,U7c77e3ab,feedback,Amazing Experience,Had an unforgettable adventure.,#nature,Kalandula Falls,cultural_info,447,0,4.85,2024-06-26
Pd790a9c6,U6cda466a,feedback,Tips for Travelers,Had an unforgettable adventure.,#adventure,Quicama National Park,recommendation,217,0,2.01,2023-09-18
Pbe8965ad,U1ac61df0,feedback,Amazing Experience,The food was delicious!,#nature,Quicama National Park,travel_tip,131,0,2.99,2023-01-06
P5504a7b3,U3573d758,recommendation,Amazing Experience,Visited a wonderful place!,#culture,Ilha do Mussulo,feedback,352,0,2.2,2024-02-23
Pf7ef52fa,Ud3314ec8,recommendation,My Travel Story,Had an unforgettable adventure.,#food,Quicama National Park,cultural_info,133,1,2.14,2024-08-01
Pf07e1778,Uc97ee642,cultural_info,Tips for Travelers,Highly recommend this destination.,#culture,Quicama National Park,travel_tip,91,0,1.15,2024-07-26
P9dcce0a0,U5b776f22,travel_tip,Cultural Insights,The food was delicious!,#nature,Museu Nacional de História Natural,travel_tip,376,0,3.44,2023-05-02
Pe93e0078,Uc0c94625,feedback,Tips for Travelers,Highly recommend this destination.,#travel,Morro do Moco,travel_tip,402,0,3.01,2024-07-17
Pdc90dbd4,U668c8edd,recommendation,My Travel Story,Had an unforgettable adventure.,#food,Praia Morena,recommendation,421,0,1.21,2024-04-27
P1c11df8b,U1914ceb0,travel_tip,Amazing Experience,Visited a wonderful place!,#adventure,Morro do Moco,cultural_info,40,0,2.11,2024-01-29
P4b6535dc,U492c2842,travel_tip,Cultural Insights,Visited a wonderful place!,#beach,Ilha do Mussulo,travel_tip,224,0,4.63,2023-07-26
P06fc53a3,Udd2a750c,cultural_info,My Travel Story,Visited a wonderful place!,#nature,Quicama National Park,feedback,314,0,1.96,2023-02-06
Pc65514e6,U6af7541c,feedback,Amazing Experience,Highly recommend this destination.,#travel,Museu Nacional de História Natural,travel_tip,180,1,1.58,2024-02-20
P853fcb8d,U9415bf18,feedback,Amazing Experience,Visited a wonderful place!,#travel,Quicama National Park,cultural_info,371,0,2.96,2023-12-22
P356282d7,U272e85dc,cultural_info,My Travel Story,Highly recommend this destination.,#culture,Kalandula Falls,recommendation,133,0,4.94,2024-02-21
P860ebc92,Uea5355cc,recommendation,Amazing Experience,The food was delicious!,#adventure,Praia Morena,cultural_info,448,0,1.97,2024-03-29
P4b310096,Uae4514f1,travel_tip,Tips for Travelers,Highly recommend this destination.,#adventure,Kalandula Falls,travel_tip,459,0,3.69,2024-05-08
P71586439,U908c2e74,cultural_info,Amazing Experience,Had an unforgettable adventure.,#food,Morro do Moco,feedback,409,0,4.05,2024-02-27
Pe75b53e3,U06f990ac,cultural_info,Amazing Experience,The food was delicious!,#beach,Museu Nacional de História Natural,recommendation,204,0,1.95,2023-03-19
P504e469e,Ub1eba9de,feedback,Tips for Travelers,The food was delicious!,#adventure,Morro do Moco,cultural_info,93,0,3.91,2024-05-25
P7eaabcdf,U21d1acc4,feedback,My Travel Story,Highly recommend this destination.,#adventure,Morro do Moco,feedback,103,0,2.47,2023-12-31
P38872bd0,U8039592e,recommendation,Amazing Experience,Visited a wonderful place!,#food,Ilha do Mussulo,travel_tip,314,0,3.53,2024-07-08
P1f850ebd,U6d33a3bb,recommendation,Tips for Travelers,The food was delicious!,#nature,Museu Nacional de História Natural,travel_tip,459,0,3.53,2024-05-17
Paf37c3a3,U7e36bcab,cultural_info,Tips for Travelers,Highly recommend this destination.,#nature,Morro do Moco,recommendation,269,1,3.14,2024-05-04
Pbc57e46d,Ua9ba5324,recommendation,Cultural Insights,Had an unforgettable adventure.,#food,Morro do Moco,travel_tip,499,0,1.36,2024-06-14
P148ad292,U5a27d137,cultural_info,Amazing Experience,Visited a wonderful place!,#food,Morro do Moco,travel_tip,297,0,4.34,2023-11-30
P018cb5b7,Ud3314ec8,cultural_info,My Travel Story,The food was delicious!,#beach,Museu Nacional de História Natural,travel_tip,490,0,2.28,2024-01-10
Pa0651ada,Ude2cd45c,travel_tip,Tips for Travelers,Highly recommend this destination.,#culture,Ilha do Mussulo,cultural_info,186,1,1.75,2023-10-14
Pa2cc040d,U263e5a52,feedback,My Travel Story,Highly recommend this destination.,#travel,Ilha do Mussulo,cultural_info,411,0,1.16,2024-07-22
Pdd8bdbf8,Ueaabb636,travel_tip,My Travel Story,Highly recommend this destination.,#food,Morro do Moco,travel_tip,412,0,3.36,2023-06-30
Pc25e7827,U6fa68f1f,travel_tip,My Travel Story,The food was delicious!,#culture,Museu Nacional de História Natural,cultural_info,287,0,3.71,2024-02-12
Pae075bfc,Ue5cb23f2,feedback,Amazing Experience,Highly recommend this destination.,#adventure,Kalandula Falls,recommendation,230,0,1.07,2023-09-24
Pfb05d9b2,U6af7541c,cultural_info,Cultural Insights,The food was delicious!,#travel,Kalandula Falls,recommendation,179,0,3.05,2024-08-13
P1eec807b,U7f5ef49f,feedback,Cultural Insights,The food was delicious!,#adventure,Ilha do Mussulo,travel_tip,396,1,1.91,2023-03-22
P8f27ba87,Uefbd5c07,cultural_info,Tips for Travelers,Highly recommend this destination.,#beach,Ilha do Mussulo,cultural_info,215,1,3.58,2023-03-15
P2b72d926,Udc88e7eb,feedback,Cultural Insights,Highly recommend this destination.,#adventure,Museu Nacional de História Natural,cultural_info,363,0,1.7,2024-02-09
Pcd0e3ec3,U596c102d,travel_tip,Cultural Insights,Had an unforgettable adventure.,#culture,Morro do Moco,feedback,437,0,3.76,2023-05-09
P8820477a,U7f08c203,feedback,Cultural Insights,Visited a wonderful place!,#beach,Morro do Moco,travel_tip,52,0,2.55,2023-03-07
P9afc2096,Ub24a3301,travel_tip,Amazing Experience,Visited a wonderful place!,#culture,Quicama National Park,recommendation,53,0,4.75,2023-06-09
P150e94c6,U7af6a77d,travel_tip,Cultural Insights,Highly recommend this destination.,#beach,Ilha do Mussulo,cultural_info,226,0,1.55,2023-05-15
P5f7b7693,U60c5b488,feedback,Amazing Experience,Visited a wonderful place!,#food,Museu Nacional de História Natural,cultural_info,442,1,2.36,2024-04-23
P57548e67,Ufbf34442,cultural_info,Tips for Travelers,Highly recommend this destination.,#food,Quicama National Park,feedback,302,1,1.45,2024-07-31
P970e6acf,U31340ff4,cultural_info,Cultural Insights,Had an unforgettable adventure.,#nature,Morro do Moco,recommendation,226,0,4.7,2024-01-10
Pce3caa3b,U1e0441d1,cultural_info,My Travel Story,The food was delicious!,#travel,Praia Morena,feedback,176,0,4.51,2024-04-25
P62652221,U8ff6d93c,recommendation,Tips for Travelers,Had an unforgettable adventure.,#adventure,Praia Morena,travel_tip,408,0,2.03,2023-08-25
Pd286d6a0,U89d8e7c8,recommendation,Cultural Insights,Highly recommend this destination.,#culture,Quicama National Park,travel_tip,202,0,3.64,2023-06-17
Pbb81447b,U02360f09,travel_tip,Tips for Travelers,Highly recommend this destination.,#adventure,Praia Morena,travel_tip,320,0,4.27,2024-06-13
P1d4c114e,U1626077d,cultural_info,Cultural Insights,The food was delicious!,#culture,Morro do Moco,recommendation,93,0,3.22,2023-10-24
Pe8d62676,U54eb58c5,travel_tip,Tips for Travelers,The food was delicious!,#food,Quicama National Park,travel_tip,96,0,3.12,2023-01-20
Pb618c3c5,Uc830b962,recommendation,Amazing Experience,Highly recommend this destination.,#travel,Museu Nacional de História Natural,cultural_info,64,1,1.97,2023-01-09
